create at,username,tweet
2020-11-08 09:49:50,SyamimIlham,rt adiehussin akibat tangguh spm covid
2020-11-08 09:49:50,Fxz__,rt kkmputrajaya status terkini covid malaysia nov kes sembuh kes sembuh kes kes baharu positif k
2020-11-08 09:49:47,lolita_lolo,rt vivacoid pasien covid sembuh orang https t co f t of kw nasional
2020-11-08 09:49:42,Opiee_piee,rt satuyangtakbisa ramai bahas covid eh salah detik tenar coba ya kalo bahas yg divideo kekira brp like follow a
2020-11-08 09:49:42,DingFucker,abcdefghaluu biar ga covid
2020-11-08 09:49:40,oikos_mcnomos,fabiaaaaaaaaan nanya ngegrafikin moving average covid sih
2020-11-08 09:49:37,mxstxrxz,rt nurkhadhraa hai org jb rm utk rt bantu my small bisness since i x de kerja because this covid https t co oxox flurq
2020-11-08 09:49:33,BORNEONEWS,satgas covid surati wali kota palangka raya terkait rencana buka bioskop https t co h mjgbmiyw
2020-11-08 09:49:30,LaingenLisa,rt dee direktur jenderal who mengapreasiasi indonesia menghadapi pandemi covid salah yg diapresiasinya
2020-11-08 09:49:23,Wanyourbae_,covid conspirasi video detik link kasihangempi
2020-11-08 09:49:16,Info_dari_Anda,rt recoveradio perkembangan covid indonesia kitalaluicovid https t co a tunshgnz
2020-11-08 09:49:13,fthiahms,rt nurkhadhraa hai org jb rm utk rt bantu my small bisness since i x de kerja because this covid https t co oxox flurq
2020-11-08 09:49:08,minosyahmadi,rt kompascom update covid provinsi jawa barat jawa banten sumatera selatan bangka belitung lampung http
2020-11-08 09:49:07,neoranbbom,adorabledhs oiyaa lg covid ya
2020-11-08 09:49:02,ntar_yaa,chrisj asyiknya minumnya rame jg nih tp protokol covid luur wkwkwkwk
2020-11-08 09:49:02,HnfNamia,rt iffahs salah menteri ni start covid merata bkn salah pi starbucks we wash our hands sanitize
2020-11-08 09:49:02,kompascom,covid provinsi aceh sumut sumbar riau kepri jambi bengkulu https t co avys zdsgz
2020-11-08 09:48:58,Elshinta_TV,rt recoveradio perkembangan covid indonesia kitalaluicovid https t co a tunshgnz
2020-11-08 09:48:55,republikaonline,total meninggal kumulatif mencapai orang https t co nw nycea
2020-11-08 09:48:54,Restik_KubuRaya,pelayan masyarakat yok cegah penyebaran covid menerapkan protokol kesehatan polreskuburaya bersinar polreskuburayabersinar poldakalbar https t co hbb lelv
2020-11-08 09:48:49,toebiltea,rt dee direktur jenderal who mengapreasiasi indonesia menghadapi pandemi covid salah yg diapresiasinya
2020-11-08 09:48:44,FerySet51788781,rt lantasrestala rangkaian operasi zebra intan satlantas polres tanah laut membagikan sembako masyarakat y
2020-11-08 09:48:38,aleaatyqa,rt nurkhadhraa hai org jb rm utk rt bantu my small bisness since i x de kerja because this covid https t co oxox flurq
2020-11-08 09:48:36,MojolabanPolsek,patroli siaga sore polsek mojolaban dipimpin kspk aiptu giyat tri subagiya melaksanakan patroli obvit dilanjutkan cegah c mengimbau masyarakat pakai masker cegah covid sabtu https t co gjdz jsx
2020-11-08 09:48:34,AnadoluAgencyID,breaking indonesia melaporkan total pasien positif covid penambahan
2020-11-08 09:48:23,denyhalif1,covid tuhan aja dilawan bu https t co ybzhmocbc
