original_tweet,sentiment_result
ryzel pfizer untuk raksyat malaysia sinovac first come first serve queue jumper repo pada yb kj ,0
perusahaan harus melaporkan jumlah karyawan atau jumlah yg di vaksin gotong royong dalam satu keluarga kepada ,17.5
ada kawan dlm grup tanya only mati lagi recover so why need vaccine camna nak jawab soalan tu camni risik ,-2
wanita mengandung boleh mendapatkan vaksin tetapi perlu mendapatkan nasihat daripada pakar kesihatan terlebih dahulu ,-4
vaksin covid tak percaya ex cakap rindu percaya pulak ,5
dah terima vaksin kalau parlimen masih gantung aku turun jalan postr banyk banyak ,-3
albakri peemuan dgn tun mmg ada sebelum ini cuma tak pernah ada dialog sebegitu kami berbual perihal perkembangan tadbir uru ,-4
hingga saat ini menurut data kadin sudah ada perusahan yang mendaftar untuk menyelenggarakan vaksinasi gotong royong ,-4
syukur nampaknya angka kes makin menurun moga hari hari seterusnya kes terus berkurang kita boleh menang ,12.75
giat operasi yustisi penegakan disiplin untuk mematuhi protokol kesehatan dalam rangka penerapan ppkm skala mikro tahap ii untuk mencegah penyebaran virus corona covid gabungan tni polri sat pol pp di pimpin oleh kapolsek rengasdengklok ,-2
tahukah anda dah la bab sop pun depa langgar bab vaksin pun depa nak sailang sek kito mandi lanjey ,-7
penyokong pas be like kita tak perlu vaksin percaya pada ketentuan while pas people themselves poto ,14.850000000000001
kj tengah perangi geng geng kroni ahli politik yang cuba nak dapatkan vaksin awal korang kalau ada info terus email ke kj send ,-1
bayangkan potong queue giliran vaksin di dunia lepastu dapat potong queue nak masuk neraka juga,-9
gue sm kenneth jadian maret tahun lalu pas bgt mulai lockdown trs skrg udh mau setaun aja bener definisi menyedihkan bgt pasangan corona,5
covid mac j kes sembuh j kumulatif j kes baru j kumulatif j kes aktif ,15
menurut peraturan menteri kesehatan ri no tahun pengadaan amp pendistribusian vaksin gotong royong menjadi ranah pt ,15
malaysia fasa program imunisasi adalah untuk frontliners iaitu petugas kesihatan ang ,-1
ya allah selamatkanlah negara kami dan seluruh dunia dari covid ini ,15
terkini mac kes baharu hari ini dengan lagi kematian ini menjadikan jumlah keseluruhan kes ialah ,14
udah maret aja ih ga kerasa udah setahun sejak corona maret pd waswas takut corona maret pd lelah dg berita corona abai,-4
ganjar gibran tinjau vaksinasi covid untuk lansia dan pedagang ganjar menyampaikan apresiasi kepada wali kota solo karena telah melakukan percepatan vaksinasi bagi lansia dan pedagang vaksinasi yang sedianya dilakukan hari ini senin lanjut ,17
ktn anchor akisa wandera tests positive for covid via ,0
rakyat tanya mana laptop untuk pdpr depa decide bukak ja sekolah rakyat tanya apa kepentingan depa dapat vaksin dulu ,6.0
keterlibatan masyarakat dalam mengatasi penyebaran covid diharapkan lebih besar ,-1
status terkini mac kes sembuh jumlah kes sembuh kes kes baharu positif kes ,30
pt biofarma sudah mulai menjajaki perusahaan vaksin sinopharm dan moderna dan melakukan pembicaraan supply vaksin gotong ,4
saya akan ambil mana mana vaksin yang diberikan jika npra dah luluskan maknanya ia selamat dan berkesan tak kisahlah pfi ,7
kalau vaksin tu agenda yahudi dan nak bunuh orang kenapa orang politik berebut rebut sanggup potong giliran dengan frontline ,-4
cuti bersama dipotong lagi demi mutus mata rantai covid what jadi orang disuruh kerja terus gitu padahal orang cuti ,-1
vaksin aman dan nyaman ,4
abis vaksin lalu sopi hahaha,1
dua sahabat saya mengalami kesan sampingan yg teruk selepas vaksin oleh sebab terlalu gembira mereka tak habis habis ,12.0
kita tunggu nih program vaksin gotong royong di bulan maret ya gaes kolaborasi inovasi dari pemerintah pihak swasta amp m ,9
pening patutlah ahli politik terima vaksin dulu boleh berkempen balik dasar babi sekor kalau aku jadi nurse aku cucuk air kos ,-8
kamu tau vaksinasi gotong royong pengadaan amp pendistribusian vaksin gotong royong dlakukan oleh bio farma vaksi ,3
praying circle lebaran ,0
vaksin gotong royong akan mempercepat proses vaksinasi dengan begitu target penyelesaian vaksinasi untuk juta pend ,8
sekarang lemah tak berdaya gara corona ,1
sebenarnya dlm hal vaksin ni frontliner la vvvip yang lain semua duduk diam beratur tunggu giliran ,6
menkes budi gunadi sadikin memastikan program vaksinasi gotong royong harus gratis untuk karyawan dan keluarganya biaya v ,19.25
vaksin itu penting loh ,0.0
covid tujuh kluster baharu dikenal pasti iaitu lima berkaitan tempat kerja komuniti satu dan kumpulan berisiko tinggi satu kp kesihatan,5.25
corona di indonesia udh tahun aja ya semoga panjang umur sehat selalu kebanggaan orang indonesia dah ,14
patroli jam malam ppkm dipimpin pawas pastikan semua usaha mikro sudah tutup untuk cegah penyebaran virus corona ,-1.75
covid jumlah kes aktif dengan kebolehjangkitan kini kes kkm,8
whistle blower sekalian dm jika terkesan politikusmondok cuba nak langgar q vaksin terutamanya di hospital dan kkm ht ,3
hafidz guys please help us kalau nampak mana mana vip keluarga vip anak anak vip influencers tak kira mana mana platform ,-2
stfc menyediakan infografik bagi pergerakan kes baru covid mengikut mukim di negeri selangor bagi tempoh hari bermula februari sehingga mac infografik ini berlandaskan kes tempatan sahaja dan tidak termasuk kes impo ,12
covid kes di icu perlu alat bantuan pernafasan kkm,6
jutaan orang tidak menyadari bahwa corona lagi univercity,0
hbd dan corona ,0
rintihan frontliners mengenai potong queue vaksin mereka telah dibanci masuk dalam list tapi sampai masa kata terpaksa ,-14
yang bagi kes meningkat ahli politik yang dahulu ambik vaksin ahli politik yang langgar sop ahli politik yang d ,1
covid kes baharu kes sembuh dan lima kematian hari ini mac kkm,14
garis panduan penetapan senarai barisan petugas hadapan bagi program imunisasi covid kebangsaan ,2
kagum giler dgn cara address issue staff depa dua org positif covid siap offer customer yg ada datan ,7
terkini kes baharu covid hari ini negeri perak rekodkan kes baharu perincian menyusul di thread ,10
