original_tweet,sentiment_result
ajaib assalamualaikum ada sesiapa berminat nak beli hp blackberry bold amp kasut secondhand if berminat sila dm saya ikhtiar jua ,9
majelis agama islam singapura memegang posisis bhwa vaksin covid di izinkan untuk digunakan umat muslim ,3
bagi nakes tenaga kesehatan yg mau ngecek apakah namanya sudah masuk dlm program vaksin gratis dari pemerintah silahkan k ,7
jelo didalam negeri ribut dgn halal tidaknya sinovac justru di saudi arabia telah melakukan vaksin pada warganya ,4
rencananya program vaksinasi covid di indonesia tuntas dalam waktu bulan mulai dari januari dan akan rampung pa ,0
apa yang harus kita lakukan ketika orang terdekat positif covid sebagai orang terdekat kita bisa membantu mereka y ,17.5
anda kes positif yang berada di rumah patuhi langkah langkah ini bagi memutuskan rantaian jangkitan covid ,15
anwar enggan berbalah dengan tun m kematian covid ,-14
koko kesadaran dalam diri di masyarakat menurun dok soal covid ini ,1
stein barusan saya buka aplikasi al qur an indonesia di android tiba tiba ada notifikasi begini kedua orang tua pembuat aplikasi ,-9
terkini kes baharu covid hari ini termasuk kes impo perak rekodkan kes baharu perincian menyusul di th ,16
status terkini januari kes sembuh jumlah kes sembuh kes kes baharu positif kes ,30
biofarma sebut tidak ada kendala distribusi vaksin ke seluruh indonesia antara news jawa barat ,3
jelo ini daftar yg siap d ia vaksin dwi ahmadyu ,1
segala upaya pansos dengan memanfaatkan pandemi covid sungguh tidak lucu ada nyawa manusia disini yang kamu permainkan ,2
yang mengatakan vaksin sinovac ngak halal jangan percaya demi mari kita lawan provokasi ,8
rusli kalau gue terus terang tunggu vaksin apa yang dibeli oleh sultan hassanal bolkiah yang dipeuan negeri brunei darussa ,3
kes positif ong tai kim gombak sebentar tadi fb pasaraya ong tai kim mengesahkan seorang pekerja mereka di gombak positif ,4
untuk saat ini vaksin tersebut masih menunggu persetujuan emergency use authorization eua dari ri apabila izinnya ,-3
kenapa wuhan bisa pay tahun baru tanpa vaksin gak perlu bikin teori konspirasi udah ada prakteknya kita aja yg gak ,5
ikea umum cawangannya di damansara ditutup mulai hari ini susulan beberapa kes positif covid dikesan dalam kalangan ,7
repo membedah tweet akun kak selama wabah covid di tuk memahami respon pemerintah berikut t ,0
rania teman semua minta doanya buat sobib gw sastro pedhal ya sedang di rawat di rs bcos covid semoga di sembuhkan dari ,7
berikut adalah perincian kes baharu covid di negeri perak hari ini ,7
pemerintah telah mendatangkan juta dosis vaksin covid ke tanah air kehadiran vaksin tersebut membawa ha ,4
karena netizen kepo jubir kelabakan ,2
