original_tweet,sentiment_result
tim pemakaman jenazah dg protokol covid mdmc kulonprogo diy ,-8
ngabisin jatah vaksin aja si rapiahh,4
sebelum meninggal dunia syekh ali jaber sempat terpapar virus corona covid berikut riwayat sakitnya ,-6
chotlmah ada yg mau jadi ais ini teman ingin terkenal ayo kita bantu viralkan polri reskrim h ,10
hari ini saya disuntik vaksin covid mewakili pemuda jawa timur peama yang disuntik vaksin covid semua berjalan aman ,2
gak usah sok sokan ketakutan mikir ada kandungan apaan aja di dalam vaksin lu makan mie ayam pake saos botolan yang banyak pa ,0
dr tia adukan masalah raffi ahmad ke kasatgas covid ,-3
harus dipahami bahwa cara kerja bangsa kita ini salah satunya mewujudkan keadilan sosial bagi seluruh rakyat indonesia vaksin ciptakan imunitas kovid ,19.25
syekh ali jabar meninggal dunia pagi ini kabar duka itu disampaikan oleh yusuf mansur melalui akun instagram resminya ,11
setuju dongg kan tau vaksin ituu apa dan tujuannya apa hidup emg gk bisa senormal dulu tpi setidaknya gk ada perasaan takut utk keluar rumah atau interaksi sama org nantinya bosen tauu zoom muluu ,7
halo raffi ahmad setelah divaksin bukan berai keluyuran rame dong anda dipilih jatah awal vaksin karena followers b ,4
seram sekali ceramah org ini entah siapa namanya saya tak tau dia bicara ttg vaksin dan dna sy yakin org ini pun ta ,-16.5
x kamu vaksin perwakilan anak muda ya y wah kenapa saya x kamu influencer banyak orang yang akan mengikutimu dan nanti habis vaksin gapapa kalo mo kumpul kita liat kalo masih banyak yang ngebela kamu berai kamu cocok jadi influencer karena banyak orang sepeimu xixi,6.25
buat yang nanya kenapa udh divaksin gaboleh keluyuran vaksin itu berfungsi setelah hari ya bangsat se ,-6
rahj cuma ditegur knp ga spi ibhrs yg lgsng dijadikan tersangka atas kasus kerumunan sama berkumpul yg menyebabkan kerumun ,9
saran saya buat pemerintah selain mengejar distribusi vaksin penting juga untuk menggencarkan edukasi vaksin ,4.0
