original_tweet,sentiment_result
rt nadyazura oke kamala haris wakil presiden perempuan us lha puan maharani ketua dpr perempuan aja ngel,3
rt catatankakihati percayaindonesiamaju undang undang cipta krja disahkan presiden jokowi dpr ri un,4
rt ncuhiriwo ngeri eks anggota dpr bongkar penipuan ferdinand hutahaean https t co aojlguifn hahah bener,-10
dpr yian kakk ian follbacknya,0
rt nadyazura oke kamala haris wakil presiden perempuan us lha puan maharani ketua dpr perempuan aja ngel,3
memotretnya tdk uu ciptaker sdh disetujui mayoritas anggota dpr ri tdk unsur otoriter pemerintah https t co g vhi hbn,-3
chinnamonroll sebelah gua dpr,-7
dpr yian klo dad,0
idtodayco ghanieierfan udah jd politisi ntar kalo serang politik jgn mewek ya ustad eh somad calon anggota dpr abdul somad,-9
slygurlll dp tuh siapanya dpr,-2
jujutsu kaisen credits x hop in mino ft dpr live https t co qg zyk,-2
rt nadyazura oke kamala haris wakil presiden perempuan us lha puan maharani ketua dpr perempuan aja ngel,3
rt h ckn t pengunggah jalanan rusak dipolisikan dpr undang undang ite dipakai menindas rakyat idtoday news https t co jesy r,-2
rt ncuhiriwo ngeri eks anggota dpr bongkar penipuan ferdinand hutahaean https t co aojlguifn hahah bener,-10
rt nadyazura oke kamala haris wakil presiden perempuan us lha puan maharani ketua dpr perempuan aja ngel,3
lo dpr https t co wjzivyeywi,0
rt nadyazura oke kamala haris wakil presiden perempuan us lha puan maharani ketua dpr perempuan aja ngel,3
rt pln ntt anggota komisi iv dewan perwakilan rakyat republik indonesia dpr ri julie sutrisno laiskodat mengapresiasi pln m,-3
rt pln ntt komisi iv dpr ri apresiasi inovasi co firing pemanfaatan faba pltu ropa https t co vugtxq wm,7
rt nadyazura oke kamala haris wakil presiden perempuan us lha puan maharani ketua dpr perempuan aja ngel,3
rt malvaselena strategipemulihanekonomi uu cipta kerja adlh kerumitan birokrasi yg sektor kelautan perikanan yg,-3
coffee boiiiii dpr ian and loren aint even under yg help,4
rt malvaselena strategipemulihanekonomi uu cipta kerja adlh kerumitan birokrasi yg sektor kelautan perikanan yg,-3
rt nadyazura oke kamala haris wakil presiden perempuan us lha puan maharani ketua dpr perempuan aja ngel,3
korengtekopek changeorg id anjasss anggota dpr pake jasss,-3
abimasena sturdyright memecomicindo dpr ri joebiden realdonaldtrump kawal yg detik detik dpt yg full jgn lupa berbagi,4
malvaselena dpr ri hardi mashuriis dinihrdianti garpu popmie ilyanef justbob ariestariico hs reima temansahaja salah dr strategipemulihanekonomi,-4
rt malvaselena strategipemulihanekonomi uu cipta kerja adlh kerumitan birokrasi yg sektor kelautan perikanan yg,-3
rt malvaselena strategipemulihanekonomi uu cipta kerja adlh kerumitan birokrasi yg sektor kelautan perikanan yg,-3
monologelly dpr ri strategipemulihanekonomi kemajuan bangsa,0
rt monologelly uu ciptaker adlh kerumitan birokrasi sektor kelautan amp perikanan uu tsb menyederhanakan smua pr,-5
strategipemulihanekonomi uu cipta kerja adlh kerumitan birokrasi yg sektor kelautan perikanan yg kerap dihadapi pemangku kepentingan termsk klp nelayan uu tsb sdh menyederhanakan smus peraturan yg amp inovasi yg hrs diapresiasi dpr ri https t co ck zlk kf,6
rt faldyaw cittairlanie tirtoid dpr ri kalo dpr sahkan uu draft wisuda skripsi,0
rt dsutiyanti strategipemulihanekonomi dpr ri mngesahkan uu ciptaker sbagai salah trobosan untk memangkas hiper regulasi,-4
heboh banget liat perempuan wakil presiden negara antah berantah udah presiden perempuan anaknya ketua dpr perempuan yha gitu nggak fokus representasi yass queen girl boss doang,11
rt nadyazura oke kamala haris wakil presiden perempuan us lha puan maharani ketua dpr perempuan aja ngel,3
rt nadyazura oke kamala haris wakil presiden perempuan us lha puan maharani ketua dpr perempuan aja ngel,3
rt mcaops wakil rakyat habib rizieq berhak pulang tanah air warga har,-1
rt nadyazura oke kamala haris wakil presiden perempuan us lha puan maharani ketua dpr perempuan aja ngel,3
youranoncentral cabut omnibus law dpr dewan pengkhianat rakyat yg sorakkan,-8
rt monologelly uu ciptaker adlh kerumitan birokrasi sektor kelautan amp perikanan uu tsb menyederhanakan smua pr,-5
rt monologelly uu ciptaker adlh kerumitan birokrasi sektor kelautan amp perikanan uu tsb menyederhanakan smua pr,-5
uu ciptaker adlh kerumitan birokrasi sektor kelautan amp perikanan uu tsb menyederhanakan smua praturan perundang undangan inovasi yg diapresiasi wakil ketua komisi iv dpr ri hasan aminuddin strategipemulihanekonomi https t co mxtnsghvqy,6
rt nadyazura oke kamala haris wakil presiden perempuan us lha puan maharani ketua dpr perempuan aja ngel,3
rt nadyazura oke kamala haris wakil presiden perempuan us lha puan maharani ketua dpr perempuan aja ngel,3
cultrema dpr ian so beautiful,0
bumn dijual swasta sapih perah orang kehausan https t co dfbey aspo https t co iwujw otk,0
rt catatankakihati percayaindonesiamaju undang undang cipta krja disahkan presiden jokowi dpr ri un,4
rt mcaops wakil rakyat habib rizieq berhak pulang tanah air warga har,-1
rt pdemokrat wakil ketua partai demokrat benny k harman catatan khusus terkait gagasan membentuk uu tersendiri pro,-3
sampe cirebon yg diliat tulisan dpr asu aja,-4
stan dpr instead,0
adian jago kandang pesta kotor aksi semanggi jujur deh cc dpr ri mprgoid dpdri,8
rt nadyazura oke kamala haris wakil presiden perempuan us lha puan maharani ketua dpr perempuan aja ngel,3
rt nadyazura oke kamala haris wakil presiden perempuan us lha puan maharani ketua dpr perempuan aja ngel,3
sodaranya dpr ian gak mati hidup ganteng alhamdulillah https t co rf nwirua,15
rt iklanraja uu ite disalah dpr uu ite utk memindas rakyat,0
blikadekkk enzaaofc anjay gedung dpr,-3
oke kamala haris wakil presiden perempuan us lha puan maharani ketua dpr perempuan aja ngelolosin uu omnimbuslaw merugikan perempuan deteksi feminis liberal gampang fokus representasi abai kebijakan,10
enzaaofc gedun dpr,0
sturdyright mizanul adly memecomicindo dpr ri joebiden realdonaldtrump datanya oot,0
rt andre rosiade anggota komisi vi dpr andre rosiade menyalurkan bantuan titik kampung halamannya sijunjung sumatera bar,-3
rt andre rosiade anggota dpr ri sumbar andre rosiade polisi melanjutkan proses hukum terkait pengeroyokan pr,-2
rt kenturama masyumi udah bangkit politik sayap kanan fundamentalis agamis bercabang bersaing menguasai dpr,-3
jakethyuka mewek pls kak sjsjs nangiss tdi dpr kabar salam udah dititipin chan yg ikutan vc nngis bgt,-2
ryeon worlds emang auranya macem dpr ian sih badboy badass gitu,-2
rt andre rosiade anggota dpr andre rosiade mewanti wanti pln pemadaman listrik andre kampanye te,0
rt dpr ri ketua dpr resmi buka parlemen remaja https t co jqkqlfrnki https t co vl d vllg,0
rt andre rosiade pilkada halo xyz anggota dpr ri turun masyarakat pemilu aja ya wkw,4
kemiri ted kho kalimat yg teknisnya yg ruwet butuh skala tahunan salahsatu yg krusial sidang rapat pemerintah parlemen dpr dprd disiarkan publik as inggris pake aja tvri,-12
prideman idtodayco kalo terjun politik beda cerita politik identik kekuasaan nafsu perebutan menonjol kalo dah masuk dpr,-6
