original_tweet,sentiment_result
rs tiara tangerang butuh bantuan apd apd bantuan butuh terima corona coronavirus covid covid covid hazmat isolasi masker suspek pasien rumahsakit bersatulawancovid amanproduktif tangerang banten urgen,-9
rt jantitjendana gojekindonesia gojek difasilitasi rupa penyekat disinfektan dll,3
gojekindonesia gojek difasilitasi rupa penyekat disinfektan dll ttp cust aware sprti pakai masker yg memakai hand sanitizer tdk cuci tangan dgn air itsoktobelebay goj k itsvelisa vnyfe,3
menjual masker play aman pakai seharga rp dapatkan shopee shopeeid,-3
andihiyat banget sih mah ijin jualan ya ka hehe menghilangkan jerawat bekas jerawat komedo yukk pakai masker spirulina dijamin ampuhh diskon loh buruan klik link on bio,4
rt haikyuufess hqhalu crossover indonesian actor he said lupa pakai masker,1
rt haikyuufess hqhalu crossover indonesian actor he said lupa pakai masker,1
az dwika halo kak asiap kak mantulll jaga kesehatan lupa pakai masker ya kak terima kasih sobat setia smartfren caca,12
sobat polri lupa memakai masker beraktivitas rumah bentuk kepedulianmu upaya pencegahan covid maskermu keselamatan,17
rt jvleha pakai lipstik ditutup masker ngecat rambut pakai hijab bukti perempuan dandan me,1
rt imigrasijambi kegiatan teman teman siswa poltekim membagikan tumbler masker masyarakat jambi membut,6
kendor pakai masker jaga jarak hindari kerumunan,5
lupa memakai masker beraktivitas rumah bentuk kepedulianmu upaya pencegahan covid maskermu keselamatan mari patuhi protokol kesehatan disiplinlakukan m disiplinprotokolkesehatan stopcovid,17
rt jvleha pakai lipstik ditutup masker ngecat rambut pakai hijab bukti perempuan dandan me,1
pakai uu,0
tom holland kasih bocoran kostum terbarunya film spider man akun instagram pribadinya holland membagikan foto spiderman masker mencerminkan dunia menyesuaikan pandemi covid mengancam,0
lindungi keluargamu covid memakai masker,0
anggoga unit sabhara polsek prambanan sleman dipimpin ipda hendra senin jam wib giat patroli sambang dialogis pasar gendeng potrojayan pesan kamtibmas himbauan protokol kesehatan dg pakai masker menekan penyebaran covid,-3
rt poldasulut polres boltim bolaang mongondow timur polsek jajaran tni sat pol pp dinas perhubungan instansi terkait la,-9
adaptasi adaptasi kebiasaan protokol kesehatan hindari kebiasaan menurunkan masker dagu leher mencegah penularan covid bersatulawancorona adaptasikebiasaanbaru,-6
pakai masker rapid test non reaktif,0
puan dpr berkomitmen awasi penanganan pandemi covid,-4
rt dr koko bikin aja gerakan berjemur nasional menit sehari gerakan buka jendela rumah melengkapi gerakan pakai ma,22
itzlisaaao o stay safe kak lupa pakai masker jaga jarak cuci tangan ya,11
rt tribunnews wanita bagikan tips atasi bintik bintik pakai masker download aplikasi tribunnews update berita t,-2
rt haikyuufess hqhalu crossover indonesian actor he said lupa pakai masker,1
rt jokowi pakai masker,0
pandemi tertib pakai masker protokol,-1
viral praktik jorok pabrik roti adonan pakai air mentah toilet kotoran tikus berceceran,-11
rt radioelshinta beraktivitas rumah lupa pesan ya memakai masker menjaga jarak,10
rt dr koko bikin aja gerakan berjemur nasional menit sehari gerakan buka jendela rumah melengkapi gerakan pakai ma,22
wanita bagikan tips atasi bintik bintik pakai masker download aplikasi tribunnews update berita terbaru dapatkan android via tribuntravel,4
hallo kawan jm patuhi protokol kesehatan memutus penyebaran covid kawan jm beraktivitas dimanapun lupa m ya memakai masker menjaga jarak mencuci tangan yuk cegah penyebaran covid,16
rt sicepot tempuh jalur hukum setuju uu ciptaker klo demo dikhawatirkan ba,0
ikatan dokter indonesia idi kota jakarta selatan masyarakat lengah menerapkan protokol kesehatan salah satunya memakai masker penjelasannya ingatpesanibu pakaimasker jagajarak cucitangan,-8
kegiatan teman teman siswa poltekim membagikan tumbler masker masyarakat jambi membutuhkan bentuk kepedulian teman teman siswa poltekim masyarakat bentuk mencegah penularan covid,16
pengamat ekonomi universitas diponegoro fx sugiyanto indonesia dihadapkan resesi ekonomi akibat pandemi covid ciptaker cegah resesi omnibusindonesiamaju solusibaikuntuknegeri,-12
anggota satgas covid melaksanakan giat pembagian masker masyarakat,-6
