original_tweet,sentiment_result
rt widyarenee strategipemulihanekonomi naah setuju urgent bahas indonesia resesi dunia me,2
pemerintah jokowi serius membawa indonesia pandemi strategipemulihanekonomi andy nomicin arjuno ireng https t co flubqicgmy,-10
muzani mengakui pilkada pelik pandemi pemerintah mengupayakan namanya vaksin ucapannya mpr ahmadmuzani https t co jbge w fp,-5
undangan who menkes terawan pengakuan penghargaan dunia internasional pemerintah indonesia yg dinilai berhasil menekan penyebaran covid strategipemulihanekonomi garenghallu bunda ima https t co rn gbaux,11
alfiarnimakhtaf binprananda maaf terkait agama terkait perang mempertahankan wilayah spt orde menjadikan aceh dom peduli agama mayor pemerintah pusat agama daerah yg memerdekakan ya kirim pasukan yg timor timur clear,-5
rt rizmaya mensos juliaribatubara mewakili pemerintah terima kasih mnc grup kepedu,-3
putra bangsa ketutup hati nya benci pemerintah jd ngawur bgt,6
pemerintah pantau suspek corona ri november detiknews corona korona,2
viral emak emak marahi petugas pasar corona akal akalan pemerintah https t co dmd sepsbe corona korona,-3
rt susantomulyono kunci tdl murah subsidi subsidi pemerintah dihapus merancang subsidi,6
lanjutan konpers kepala bappenasri suharso m pemerintah mengistimewakan salah sektor kesehatan ekonomi yradianto antaresh https t co uus nlvolk,-7
mohmahfudmd hukum kekuasaan mejadikan partisipasi wn minim semoga pemerintah membatalkan uu ck,3
rt rizmaya mensos juliaribatubara mewakili pemerintah terima kasih mnc grup kepedu,-3
rt hnurwahid pksejahtera ucapkan selamat deklarasi partai masyumi reborn berharap teman pks mengawal demokrasi mem,8
rt sayidmachmoed konon mexico anggota parlemen antonio garcia pidato memakai pakaian rapat,-5
rt mohmahfudmd fadli zon menkopolhukam sy sdh mencoba menghubungi teman yg dgn rizieq maksud sy membant,4
rt rizmaya mensos juliaribatubara mewakili pemerintah terima kasih mnc grup kepedu,-3
rt tvonenews covid epidemiolog ui pemerintah ambisius genjot ekonomi akip tvone https t co iukky ztix,0
propaganda kelompok separatis dimentahkan pemerintah inggris tegasuntukmerahputih dukung otsus freewestpapua https t co hcxhrdi ea,-1
sygfess pengalihan isu gaksi pemerintah gadengerin aspirasi rakyat uu ciptaker udah disahkan aja,0
rt sicepot percayaindonesiamaju optimis menang lawan kovid pandemi ekonomi bangkit pl,2
catsnou collegemenfess gak kuota uin gak dpt kuota pemerintah gak dpt kuota kkn doang dptnya itupun gak tulisan uin ku coba berhusnudzon wkwk,-3
ccicpolri harap maklum hoax yg pemerintah https t co iq vxdytci,1
rt zaaenaall jek rosul ga dikasih kabar allah beliau overthinking allah kabar d,16
rt widyarenee strategipemulihanekonomi naah setuju urgent bahas indonesia resesi dunia me,2
rt dinihrdianti persoalkan indonesia resesi staf khusus kemenkeuri prastow pemerintah mjd penyan,-5
rt hantosuwono maksudnya pengecut coba berani dirikan partai gak pilih rakyat salahkan pemerintah,-1
rt andre rosiade anggota dpr andre rosiade mewanti wanti pln pemadaman listrik andre kampanye te,0
rt h n n a rezim jkw memimpin alokasi anggaran digelontorkan pemerintah korps bhayangkara mengalami tren peningkatan,1
rt aiek channel hrsbikinistanamenggigil kepulangan rizieq shihab mahfud md pemerintah salah https t co xlgz sxo i,-4
christien meity yukk mari bantu pemerintah untk atasi pandemi mulas liat kadal posting video mulu,10
kemiri ted kho kalimat yg teknisnya yg ruwet butuh skala tahunan salahsatu yg krusial sidang rapat pemerintah parlemen dpr dprd disiarkan publik as inggris pake aja tvri,-12
rt monologelly kepala perwakilan pbb un indonesia valeriejulliand menjalin kerjasama dgn pemerin,3
rt tirtoid pemerintah pusat daerah pengelola wisata dianggap gagal menerapkan protokol kesehatan libur pan,2
rt dusrimulya pemerintah anteknya ngomong apapun ttg hrs silahkan pegangan keterangan dubes saudi indonesia,3
rt chaterinee sertifikat halal gratis pemerintah umkm yg bergerak sektor makanan minuman optimis me,7
rt seruanhl pertimbangan matang dibahas pemerintah terkait pembuatan uuck salah satunya mencegah perpindahan lap,-17
rt hermans memperbayak teman silaturahmi twitter mari bergabung rmp indonesia damai maju me,0
rt gemilang omnibus law uu cipta kerja strategi pemerintah mengubah kondisi iklim usaha indonesia,3
rt hukumdan mahfud md konteksnya pemerintah dst menkopolhukam minus wawasan perlindung,-3
mohmahfudmd perjanjian ekstradisi saudi indonesia tante pemerintah bersikap pasif beliau hukum,4
rt dinihrdianti persoalkan indonesia resesi staf khusus kemenkeuri prastow pemerintah mjd penyan,-5
ustadtengkuzul tau stempel sertifikat halal mui skrng ditangan pemerintah smkn parah kbncian nih ustadz kpmrintah,-6
manusia superior memiliki peran kehidupan makhluk sih i just saw a news pemerintah denmark memusnahkan cerpelai diduga penyebab mutasi covid dugaan who state covid ga bermutasi jahat bgt asli,0
detikcom gak pulang lu ditangkap pemerintah arab saudi digelandangkan indonesia,0
rt agakarebaa arnold mononutu mantan rektor universitas hasanuddin unhas dinobatkan pemerintah republik indonesia pahla,-3
jodibaskoro nuicemedia bergantung sudut pandang pemerintah fine fine aja berkendara pakai motor sport spidometernya dibatasi km jam gas jarumnya segitu gitu aja,6
rt monologelly kepala perwakilan pbb un indonesia valeriejulliand menjalin kerjasama dgn pemerin,3
womanfeeds id non dokter nder pokoknya dokter biar bener ya harganya bervariasi sih tergantung tambel dimana kalo murah yah rs pemerintah puskesmas,11
rt sayidmachmoed konon mexico anggota parlemen antonio garcia pidato memakai pakaian rapat,-5
rt seruanhl optimis pemerintah mengatasi pandemi resesi percayaindonesiamaju optimis menang lawan kovi,-5
rt hasmi bakhtiar tolong jokowi tarik dubes jakarta gak paham tugas sbg dubes gak paham sikapnya m,4
rt denni sauya kantor perwakilan pbb indonesia menjalin kerja dgn pemerintah swasta mencapai target penyebaran vaksin co,2
jraharja raja wan wanrawan sosmedbw dikelola swasta dikuasai negara kemakmuran rakyat swasta kontrak pemerintah joint venture kso sharing saham dll,-4
rt ariestariico diapresiasi dipuji instansi pemerintah lainya bank dunia moody adb mengapre,-2
ucxup sentilan sentilun yg bercandain politisi ga sefrontal tp programnya langsung bungkus semenjak yg tv pendukung pemerintah,2
rt tirtoid pemerintah pusat daerah pengelola wisata dianggap gagal menerapkan protokol kesehatan libur pan,2
rt tirtoid pemerintah pusat daerah pengelola wisata dianggap gagal menerapkan protokol kesehatan libur pan,2
