original_tweet,sentiment_result
kapolres bangka barat besea staf dan bhayangkari turut berduka cita atas musibah terjatuhnya sriwijaya air sj ,-1
orang lolos dari kecelakaan pesawat sriwijaya sj bukan menjadi pelaku dalam kisah ini namun mendengar saja saya s ,-10
h ha pesawat dijadiin seme uke an dah gila kah tujuannya apa coba ,2
boalemo bnnkboalemo turut berbelasungkawa atas insiden yang menimpa seluruh korban jatuh pesawat sriwijaya air sj ,-9
tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa ,-4
media rs polri terima kantong jenazah korban jatuhnya sriwijaya air sj teridentifikasi ,-5
taekookau jungkook muak karena dinikahkan dengan taehyung padahal dia sudah punya kekasih dan sialnya k ,-6
berai orang yg terkena covid boleh naik pesawat ,-6
kenapa mereka bikin konten soal romantisasi pesawat jatuh bu moral superiority jawab sang ibu anak kecil itu teawa ,-1
soal sj ini bnyk cerita ada yg ditolak brgkat krn hasil swab ga berlaku tau ada msibah amp katakan allah masih baik s ,2
kecelakaan pesawat sriwijaya air sj telah diramalkan paranormal di jombang sejak ,-13
yuk aku naik pesawat odong,1
jd keingetan suamiku gara baca postingan mbak yg ditinggal suaminya meninggal korban sj ,-3
koko saya baru tahu bahwa kaum pemecah belah bangsa itu sampai bikin konten yang menghina korban pesawat jatuh mengerikan pol ,-23
akhirnya ditemukan ini penampakan black box sriwijaya air sj ,2
rekaman suara percakapan pilot dan co pilot sriwijaya air sj false context berdasarkan hasil pemantauan tim ja ,6
rini simulasi gabisa ngebayangin pas banting kanan kondisi di dalem udah kaya gimana ,4
ntsb akan mengirim tim ke indonesia untuk membantu penyelidikan jatuhnya pesawat sriwijaya air sj ,-2
pemerintah memastikan akan menjamin santunan untuk keluarga korban kecelakaan pesawat sriwijaya air sj rute jakaa pontia ,-8
merinding bgt yaallah semoga para korban husnul khotimah mereka sudah bahagia di surgamu ,-2
cuaca buruk ekstrem upaya pencarian sriwijaya air sj sementara dihentikan ,-16
penggunaan dna merupakan jalan terakhir yang digunakan oleh tim dvi untuk mengidentifikasi korban sriwijaya air ,-8
yang paling mengganggu pikiran saya adalah saat jatuhnya pesawat sriwijaya air repoer tv swasta seakan tidak bersalah ketika mengatan telah ditemukan serpihan tubuh penumpang,-8.0
saya sempat baca ttg sistem aviasi indonesia yg penuh sogokan amp nepotisme lulusan yg tak layak asal ada duit bisa ,7
misteri perjalanan besar manusia jatuhnya mengingatkan bhw hidup ini prjalanan yg tiba kita diperjalankan allah ,11
kecewa berat waktu menang kemarin rasanya bahagia banget bisa ketemu lucas h pesen tiket pesawat pp sda jkt tapi tiba dibatalin h nya udah nunggu setahun dan cuma diganti dengan fanmeet live ig seriously ,14
ini buat yang beanya tanya kenapa tekanan yang tinggi dalam pesawat bisa menghancurkan tubuh para penumpang sumber ,-6
itu yg mau nikah sama pesawat please kluar kamar dulu berjemur matahari pgi liat rumput pohon biar sehat pikirannya,5
tim basarnas yang hendak melakukan pencarian dengan kapal km karna terpaksa kembali karena cuaca buruk ,-19
rs polri terima kantong jenazah korban jatuhnya sriwijaya air sj teridentifikasi ,-5
sriwijaya air crash indonesia s black box locator suffers damage ,-5
semoga para korban diberikan tempat terbaik disisinya ,0
polri konferensi pres pesawat sriwijaya air sj rumkit bhayangkara minggu januari ,-2
selamat pagi semoga ada berita baik tentang bukan berita tolol sepei bikinan ,-2
black box sriwijaya air sj ditemukan ,1
suasana di posko crisis center dan posko antemoem saat melakukan identifikasi keluarga korban pesawat udara sriwijaya ,-3
se terbaru menkes ini bukti sahih termutakhir bahwa wabah sudah teramat mengerikan rs rs swasta diwajibkan alok ,-21.0
tol pesawat kli,-3
pemerintah telah mengatur ketentuan baru soal protokol kesehatan dalam angkutan transpoasi udara ,6.75
ri keluarga bawaslu mengucapkan turut berduka cita atas musibah yang menimpa sriwijaya air sj semoga proses pencarian amp ev ,-2
aku dulu kalo ngelayat suka nanya sebab meninggal orang itu apa sampai akhirnya ngalamin sendiri saat mama jd almarhum ,7
iya naik pesawat jalur tanah,-7
pemkab kepulauan seribu berencana membangun monumen jatuhnya sriwijaya air sj di pulau lancang pembangunan dikerjasamakan ,-3
apan sih org tiktok ga jelas pesawat dibilang ganteng mau nikahin pesawat gue normal ga si normal banget ampe kelewat tolol masalahnya kalo doang yg begitu gapapa tp ini fyp gue lg pesawat semua trs ga sengaja jd banyak konten kek gt masuk juga ke fyp gue,-9
pencarian sriwijaya air harus terhenti sementara karena cuaca buruk ombak di lokasi mencapai meter ,-15.75
puing mesin b pk clc berhasil diangkat dari dasar perairan kepulauan seribu minggu malam semoga ,5
yaampun uda ditanya kapan pulang hm masih troma awak naik pesawat yekan cuman ada komenan netijen yg menyayat hati pdhal naik pswt yg paling aman coba liat dr kecelakaan peahunnya max cuman huh krna cuman manusia biasa yg takut lemah ,2.0
ini adalah rakaman black box dari cockpit adam air flight yang terhempas di selat makkasar pada januari ia ,-5
peama kali takut naik pesawat ,-2
tim penyelam tni al telah menemukan black box milik pesawat sriwijaya air sj yang jatuh di kepulauan seribu sabtu ,-4
ythketua umum terpaksa harus buktikan memang kau bodoh sekali karena sepanjang sejarah jatu ,-31.5
iya soalnya nanti kalo belakangnya siregar jatohnya jadi pengacara bukan pesawat udara alias yang jual jasa ,3
mksud gw kek heran gasih cewe sange ngeliat pesawat dibiarin tapi kalo sange ngeliat cewe lain dianggepnya dosa besar banget atauuu pas ngeliat cowo umur nikah sama anak baru lulus sd dibanding ngeliat two year old men kissing lebih serem ngeliat yang yo gitu aneh,1
tapi kadang suatu masalah yang kita hadapi menjadi cara tuhan menyelamatkan kita keep believing god is good ket foto ,19
sebelum jatuhnya pesawat beberapa korban siwijaya mempunyai firasat tak biasa ,-5
pmj pencarian jatuhnya pesawat sriwijaya air sj kondisi langsung dari dasar laut jatuhnya pesawat sriwijaya air sj di p ,-6
bagian mesin turbin pesawat sriwijaya air sj telah berhasil ditemukan turbin ini kemudian diangkat ke dermaga jict ,4
ada penumpang sriwijaya air pakai data palsu kuasa hukum pemilik ktp asli kenapa bisa lolos via ,1
fdr sriwijaya air sj ditemukan mesin hidup saat menghunjam laut ,-1
tim disaster victim identification dvi polri berhasil mengidentifikasi empat korban pesawat sriwijaya air sj hingga selasa ,-9
ini sah aja sih tapi etis judul tentu umpan klik pakai tanda tanya tentu pembuat konten pengen yuk nonton vid kami akan kami jelaskan dapet adsense peanyaannya siapa yang masih mikir kecelakaan sj ialah sabotase yaa ke juta penduduk armenia ,12.757500000000002
sebuah video in memorian sriwijaya air sj viral hingga ditonton juta views sukses bikin netizen sedih ,-5
kirim doa sebanyaknya untuk sriwijaya air sj amp tim yang lagi berjuang di kepulauan seribu sana gak berani liat beritanya dari kemarin dan akhirnya hari ini baru liat beritanya gara papa bilang tik kalo udah tinggal bali jangan sering balik ke jkt ya lah kl kgn gmn,8
nasional jumlah penemuan operasi sar sj hari ke januari pkl wib ,3
sarah bingung namanya masuk daftar penumpang sriwijaya air padahal tak pernah pinjamkan ktp via ,-3
tnial penyelam tni al temukan salah satu bagian black box sriwijaya air sjy yaitu fdr flight data recorder ,-6
akhirnya black box sriwijaya air sj ditemukan ,1
pria kerasukan jin qorin penumpang sriwijaya air sebut kecelakaan terjadi begitu cepat ,-4
polda jabar tim selam ditpolairud polda jaba dikirim untuk membantu evakuasi pesawat sriwijaya air sj di kepulauan seribu mereka beranggotakan enam personel dan telah diberangkatkan pada minggu sore ,-10
aceh bersama kita doakan juga agar keluarga yang ditinggalkan diberikan kesabaran dan keikhlasan hadapi musibah ini ya aamii ,17
bersama kita doakan juga agar keluarga yang ditinggalkan diberikan kesabaran dan keikhlasan hadapi musibah ini ya aamiin ,19
terhalang cuaca ekstrem pencarian sriwijaya air dihentikan sementara ,-15
penemu black box lion air merasa pencarian sriwijaya air lebih ringan ,-1
rakyat palestina menyampaikan belasungkawa ikut merasakan duka mendalam atas musibah jatuhnya sriwijaya air sj ,0
tht indonesia retrieves crashed sriwijaya air plane s flight data recorder ,-4
manajemen sriwijaya air jemput keluarga captain afwan dari bogor sudah melakukan ante moem baca selengkapnya ,8
pmi kota tangerang melakukan pemeriksaan kesehatan terhadap anggota tim sar gabungan yang akan melakukan pencarian korban kecelakaan pesawat sriwijaya air di posko tanjung kait kabupaten tangerang nasional ,-28
hysteria vs sj drop masih ga kebayang keadaan mereka gmn pernah naik hysteria di dufan kan atau minimal liat deh ba ,-2
black box pesawat sriwijaya air sj telah ditemukan pada selasa pukul wib black box yang ditemukan ini a ,0
tim dvi polri menjelaskan proses identifikasi korban sriwijaya air sj berdasarkan dna tim dvi mengungkit proses identifikasi saat air asia dan lion air ,-13
tim dvi polri berhasil mengidentifikasi empat potongan tubuh korban jatuhnya pesawat sriwijaya air sj namun body pa itu belum dipulangkan ke pihak keluarganya masing masing ,-15
yang bilang sj disabotase yak ,0
buat yang kaget atau tremor liat berita tadi nih liat ini dulu biar tenang ,11
selain dokter ahli forensik dokter gigi juga turut membantu proses identifikasi korban kecelakaan pesawat sriwijaya air sj ,-9
pihak maskapai sriwjaya air berjanji akan menjelaskan soal dugaan penggunaan ktp palsu dalam penerbangan sriwijaya air sj ,5
awalnya niatku gak bikin giveaway mpe hari sejak peristiwa sj sbg rasa empati tp berita dan info yg beredar ttg peristi ,-1
black box atau kotak hitam pesawat sriwijaya air sj ditemukan simak perkembangan beritanya di sini ,-5
kami segenap keluarga besar jkt living star apaemen turut berduka atas jatuh nya sriwijaya air semoga keluarga korban di kasih kesabaran dan keikhlasan jakaa living star apaemen dibangun oleh perusahaan ,23
polda jawa timur besea jajaran mengucapkan turut berduka cita atas jatuhnya pesawat sriwijaya air sj rute penerbangan ,3
pencarian hari kelima korban sriwijaya ai sj ,-7
