created_at,username,tweet
2021-03-01 11:26:16,iceramyeon,ryzel pfizer untuk raksyat malaysia sinovac first come first serve queue jumper repo pada yb kj 
2021-03-01 11:26:16,tolakbigotnkri,perusahaan harus melaporkan jumlah karyawan atau jumlah yg di vaksin gotong royong dalam satu keluarga kepada 
2021-03-01 11:26:15,SuzanaRahman,ada kawan dlm grup tanya only mati lagi recover so why need vaccine camna nak jawab soalan tu camni risik 
2021-03-01 11:26:14,asyranazme,wanita mengandung boleh mendapatkan vaksin tetapi perlu mendapatkan nasihat daripada pakar kesihatan terlebih dahulu 
2021-03-01 11:26:13,sabrina_tryn,vaksin covid tak percaya ex cakap rindu percaya pulak 
2021-03-01 11:26:13,tzaifwan,dah terima vaksin kalau parlimen masih gantung aku turun jalan postr banyk banyak 
2021-03-01 11:26:12,HanifMiswan17,albakri peemuan dgn tun mmg ada sebelum ini cuma tak pernah ada dialog sebegitu kami berbual perihal perkembangan tadbir uru 
2021-03-01 11:26:12,tolakbigotnkri,hingga saat ini menurut data kadin sudah ada perusahan yang mendaftar untuk menyelenggarakan vaksinasi gotong royong 
2021-03-01 11:26:11,akmalarif90,syukur nampaknya angka kes makin menurun moga hari hari seterusnya kes terus berkurang kita boleh menang 
2021-03-01 11:26:11,PRengasdengklok,giat operasi yustisi penegakan disiplin untuk mematuhi protokol kesehatan dalam rangka penerapan ppkm skala mikro tahap ii untuk mencegah penyebaran virus corona covid gabungan tni polri sat pol pp di pimpin oleh kapolsek rengasdengklok 
2021-03-01 11:26:11,muhdhaziq028,tahukah anda dah la bab sop pun depa langgar bab vaksin pun depa nak sailang sek kito mandi lanjey 
2021-03-01 11:26:11,knighttemplar96,penyokong pas be like kita tak perlu vaksin percaya pada ketentuan while pas people themselves poto 
2021-03-01 11:26:10,salmanmnordin,kj tengah perangi geng geng kroni ahli politik yang cuba nak dapatkan vaksin awal korang kalau ada info terus email ke kj send 
2021-03-01 11:26:09,hadi_abduh,bayangkan potong queue giliran vaksin di dunia lepastu dapat potong queue nak masuk neraka juga
