created_at,username,tweet
2021-07-22 04:15:59,min__yoon_gi__,cara kerja vaksin sinovac 
2021-07-22 04:15:59,ndiahnzar_,jul tidak banyak perbezaan ditemui antara vaksin sinovac dan pfizer dalam penggunaan secara praktikal dg hisham 
2021-07-22 04:15:58,syafri71,pemerintah bersama tni polri terus berupaya untuk membantu masyarakat di tengah pandemi covid berbagai upaya terus dilakukan untuk menekan penyebaran covid di indonesia salah satu contoh kecil sepei diberikannya vaksinasi gratis untuk seluruh masyarakat indonesia guna m 
2021-07-22 04:15:58,paramaba,anjay udah vaksin
2021-07-22 04:15:58,LMASAYOSHI,id pemberitahuan talent kami airani iofifteen diketahui terpapar oleh virus covid kondisi iofi stabil bergejala ringan 
2021-07-22 04:15:58,alldayreall,kalangan epidemiolog dan pemantau pandemi menengarai pemerintah mengurangi jumlah pengetesan agar angka kasus harian covid 
2021-07-22 04:15:58,sazpower,penceramah agama sebut covid konspirasi dan hoaks mufti ismail menk how can you 
2021-07-22 04:15:58,zahid_brambang,tidak semua penyedia alat kesehatan tega ambil untung pada saat covid melonjak bahkan di pasar pramuka matraman jaka 
2021-07-22 04:15:57,polsek_genuk,kapolri jenderal polisi drs listyo sigit prabowo terjun langsung memberikan bantuan sosial ppkm darurat dari pemerintah untuk masyarakat yang terdampak covid di wilayah jawa tengah penerapan ppkm level
2021-07-22 04:15:57,Purwanto1101,jokowi klaim kasus covid turun dr eva karena jumlah tes berkurang drastis persen 
