created_at,username,tweet
2021-01-13 04:49:12,Lindale77476599,kapolres bangka barat besea staf dan bhayangkari turut berduka cita atas musibah terjatuhnya sriwijaya air sj 
2021-01-13 04:49:09,AwanSeptiant,orang lolos dari kecelakaan pesawat sriwijaya sj bukan menjadi pelaku dalam kisah ini namun mendengar saja saya s 
2021-01-13 04:49:09,punyahaje,h ha pesawat dijadiin seme uke an dah gila kah tujuannya apa coba 
2021-01-13 04:49:08,IPutuGedeSubag1,boalemo bnnkboalemo turut berbelasungkawa atas insiden yang menimpa seluruh korban jatuh pesawat sriwijaya air sj 
2021-01-13 04:49:04,HibbanAbdullah,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:49:03,sabhatansabiz,media rs polri terima kantong jenazah korban jatuhnya sriwijaya air sj teridentifikasi 
2021-01-13 04:48:48,mazuisme,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:48:45,cigarettes17_,taekookau jungkook muak karena dinikahkan dengan taehyung padahal dia sudah punya kekasih dan sialnya k 
2021-01-13 04:48:43,x_xzxcha,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:48:43,aian_44,berai orang yg terkena covid boleh naik pesawat 
2021-01-13 04:48:41,marvyterence,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:48:39,chocoberrryyyy,kenapa mereka bikin konten soal romantisasi pesawat jatuh bu moral superiority jawab sang ibu anak kecil itu teawa 
2021-01-13 04:48:30,raurusan_id,soal sj ini bnyk cerita ada yg ditolak brgkat krn hasil swab ga berlaku tau ada msibah amp katakan allah masih baik s 
2021-01-13 04:48:30,anggapph2,kecelakaan pesawat sriwijaya air sj telah diramalkan paranormal di jombang sejak 
2021-01-13 04:48:28,thesyknadns__,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:48:28,_nida06,kenapa mereka bikin konten soal romantisasi pesawat jatuh bu moral superiority jawab sang ibu anak kecil itu teawa 
2021-01-13 04:48:23,PAKJAMIE97,yuk aku naik pesawat odong
2021-01-13 04:48:20,mrsdoubleu18,jd keingetan suamiku gara baca postingan mbak yg ditinggal suaminya meninggal korban sj 
2021-01-13 04:48:09,Nadeela_EG,kenapa mereka bikin konten soal romantisasi pesawat jatuh bu moral superiority jawab sang ibu anak kecil itu teawa 
2021-01-13 04:48:05,tiko628,koko saya baru tahu bahwa kaum pemecah belah bangsa itu sampai bikin konten yang menghina korban pesawat jatuh mengerikan pol 
2021-01-13 04:48:03,yurikho88,akhirnya ditemukan ini penampakan black box sriwijaya air sj 
2021-01-13 04:47:58,SandiIb88459377,rekaman suara percakapan pilot dan co pilot sriwijaya air sj false context berdasarkan hasil pemantauan tim ja 
2021-01-13 04:47:57,_nsaaa,rini simulasi gabisa ngebayangin pas banting kanan kondisi di dalem udah kaya gimana 
2021-01-13 04:47:52,inewsdotid,ntsb akan mengirim tim ke indonesia untuk membantu penyelidikan jatuhnya pesawat sriwijaya air sj 
2021-01-13 04:47:52,awalinemart12,pemerintah memastikan akan menjamin santunan untuk keluarga korban kecelakaan pesawat sriwijaya air sj rute jakaa pontia 
2021-01-13 04:47:39,wdztap,merinding bgt yaallah semoga para korban husnul khotimah mereka sudah bahagia di surgamu 
2021-01-13 04:47:35,happymareta3,orang lolos dari kecelakaan pesawat sriwijaya sj bukan menjadi pelaku dalam kisah ini namun mendengar saja saya s 
2021-01-13 04:47:34,cacin666,kenapa mereka bikin konten soal romantisasi pesawat jatuh bu moral superiority jawab sang ibu anak kecil itu teawa 
2021-01-13 04:47:34,antaranews,cuaca buruk ekstrem upaya pencarian sriwijaya air sj sementara dihentikan 
2021-01-13 04:47:22,beramfirdaus,kenapa mereka bikin konten soal romantisasi pesawat jatuh bu moral superiority jawab sang ibu anak kecil itu teawa 
2021-01-13 04:47:22,indozonemedia,penggunaan dna merupakan jalan terakhir yang digunakan oleh tim dvi untuk mengidentifikasi korban sriwijaya air 
2021-01-13 04:47:13,bonifaciuxxx,kenapa mereka bikin konten soal romantisasi pesawat jatuh bu moral superiority jawab sang ibu anak kecil itu teawa 
2021-01-13 04:47:08,sishaanbiy,pemerintah memastikan akan menjamin santunan untuk keluarga korban kecelakaan pesawat sriwijaya air sj rute jakaa pontia 
2021-01-13 04:47:06,AHMADRI72648571,yang paling mengganggu pikiran saya adalah saat jatuhnya pesawat sriwijaya air repoer tv swasta seakan tidak bersalah ketika mengatan telah ditemukan serpihan tubuh penumpang
2021-01-13 04:47:02,alfonsusbayu34,saya sempat baca ttg sistem aviasi indonesia yg penuh sogokan amp nepotisme lulusan yg tak layak asal ada duit bisa 
2021-01-13 04:47:02,RidaAyu4,media rs polri terima kantong jenazah korban jatuhnya sriwijaya air sj teridentifikasi 
2021-01-13 04:47:02,updatedotid,media rs polri terima kantong jenazah korban jatuhnya sriwijaya air sj teridentifikasi 
2021-01-13 04:47:02,dekaadrianto,media rs polri terima kantong jenazah korban jatuhnya sriwijaya air sj teridentifikasi 
2021-01-13 04:46:57,imansyahbr,misteri perjalanan besar manusia jatuhnya mengingatkan bhw hidup ini prjalanan yg tiba kita diperjalankan allah 
2021-01-13 04:46:48,tenvelyzz,kecewa berat waktu menang kemarin rasanya bahagia banget bisa ketemu lucas h pesen tiket pesawat pp sda jkt tapi tiba dibatalin h nya udah nunggu setahun dan cuma diganti dengan fanmeet live ig seriously 
2021-01-13 04:46:46,belleluncas,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:46:41,diphylleia_xx,ini buat yang beanya tanya kenapa tekanan yang tinggi dalam pesawat bisa menghancurkan tubuh para penumpang sumber 
2021-01-13 04:46:41,JerukNanas,itu yg mau nikah sama pesawat please kluar kamar dulu berjemur matahari pgi liat rumput pohon biar sehat pikirannya
2021-01-13 04:46:33,kompascom,tim basarnas yang hendak melakukan pencarian dengan kapal km karna terpaksa kembali karena cuaca buruk 
2021-01-13 04:46:32,bloka_media,rs polri terima kantong jenazah korban jatuhnya sriwijaya air sj teridentifikasi 
2021-01-13 04:46:30,DudeneyN,sriwijaya air crash indonesia s black box locator suffers damage 
2021-01-13 04:46:21,_nsaaa,semoga para korban diberikan tempat terbaik disisinya 
2021-01-13 04:46:14,ArsaaCi,polri konferensi pres pesawat sriwijaya air sj rumkit bhayangkara minggu januari 
2021-01-13 04:46:13,helenmjtbn,selamat pagi semoga ada berita baik tentang bukan berita tolol sepei bikinan 
2021-01-13 04:46:06,skinbrotha,kenapa mereka bikin konten soal romantisasi pesawat jatuh bu moral superiority jawab sang ibu anak kecil itu teawa 
2021-01-13 04:46:05,egahendryck,orang lolos dari kecelakaan pesawat sriwijaya sj bukan menjadi pelaku dalam kisah ini namun mendengar saja saya s 
2021-01-13 04:46:02,KoryahGit,kenapa mereka bikin konten soal romantisasi pesawat jatuh bu moral superiority jawab sang ibu anak kecil itu teawa 
2021-01-13 04:45:55,deliaaputri_,black box sriwijaya air sj ditemukan 
2021-01-13 04:45:53,yoris_ab,orang lolos dari kecelakaan pesawat sriwijaya sj bukan menjadi pelaku dalam kisah ini namun mendengar saja saya s 
2021-01-13 04:45:53,gensai_kuroki,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:45:50,Faweina,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:45:45,adrinasofea_,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:45:45,alyssataufid,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:45:44,htzm__,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:45:42,ArsaaCi,suasana di posko crisis center dan posko antemoem saat melakukan identifikasi keluarga korban pesawat udara sriwijaya 
2021-01-13 04:45:41,sakharizkika,se terbaru menkes ini bukti sahih termutakhir bahwa wabah sudah teramat mengerikan rs rs swasta diwajibkan alok 
2021-01-13 04:45:37,Bunnynaxx,tol pesawat kli
2021-01-13 04:45:31,detikfinance,pemerintah telah mengatur ketentuan baru soal protokol kesehatan dalam angkutan transpoasi udara 
2021-01-13 04:45:30,aliaazlkfli_,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:45:28,_mizue7,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:45:27,mas_adhitya29,orang lolos dari kecelakaan pesawat sriwijaya sj bukan menjadi pelaku dalam kisah ini namun mendengar saja saya s 
2021-01-13 04:45:26,kenarpastika,saya sempat baca ttg sistem aviasi indonesia yg penuh sogokan amp nepotisme lulusan yg tak layak asal ada duit bisa 
2021-01-13 04:45:20,zlhrie,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:45:18,BawasluLambar,ri keluarga bawaslu mengucapkan turut berduka cita atas musibah yang menimpa sriwijaya air sj semoga proses pencarian amp ev 
2021-01-13 04:45:16,hiraneela,aku dulu kalo ngelayat suka nanya sebab meninggal orang itu apa sampai akhirnya ngalamin sendiri saat mama jd almarhum 
2021-01-13 04:45:14,ajaazmr,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:45:08,anindytaaa,kenapa mereka bikin konten soal romantisasi pesawat jatuh bu moral superiority jawab sang ibu anak kecil itu teawa 
2021-01-13 04:45:08,Aditiaihsan,iya naik pesawat jalur tanah
2021-01-13 04:45:05,Re_rhmsr,itu yg mau nikah sama pesawat please kluar kamar dulu berjemur matahari pgi liat rumput pohon biar sehat pikirannya
2021-01-13 04:45:05,dolan_pbg,pemkab kepulauan seribu berencana membangun monumen jatuhnya sriwijaya air sj di pulau lancang pembangunan dikerjasamakan 
2021-01-13 04:45:04,trackknow,apan sih org tiktok ga jelas pesawat dibilang ganteng mau nikahin pesawat gue normal ga si normal banget ampe kelewat tolol masalahnya kalo doang yg begitu gapapa tp ini fyp gue lg pesawat semua trs ga sengaja jd banyak konten kek gt masuk juga ke fyp gue
2021-01-13 04:45:02,kumparan,pencarian sriwijaya air harus terhenti sementara karena cuaca buruk ombak di lokasi mencapai meter 
2021-01-13 04:44:55,babehbabeh_,puing mesin b pk clc berhasil diangkat dari dasar perairan kepulauan seribu minggu malam semoga 
2021-01-13 04:44:47,shaykilahtrah,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
2021-01-13 04:44:45,essydwii,yaampun uda ditanya kapan pulang hm masih troma awak naik pesawat yekan cuman ada komenan netijen yg menyayat hati pdhal naik pswt yg paling aman coba liat dr kecelakaan peahunnya max cuman huh krna cuman manusia biasa yg takut lemah 
