created_at,username,tweet
2021-01-14 03:59:40,elokgumilang,awal tahun yang kelabu dimulai dari berita bahwa mutasi virus covid baru telah muncul dan lebih ganas dilanjut jatuhnya pesawat sj longsor dan banjir yang datang silih berganti kecelakaan beruntun dan meninggalnya sosok ulama kebanggaan indonesia syekh ali jaber 
2021-01-14 03:59:31,eko_juandri,vaksin uda datang presiden uda mau divaksin blackbox udah ditemukan gisel udah ngaku salah nama pelaku pembunuh 
2021-01-14 03:59:24,sirainbowl,ini beneran apa yg gue rasain sekitar beberapa hari ini gue inget mati terus dr kejadian sj sampe meninggalnya syeh ali jaber hari ini gue makin inget mati yaallah gue kayak bangun tidur gue lgsg inget mati pas tidur jg bedoa smg bsk masih idup 
2021-01-14 03:59:22,RancahPost,seorang pria diciduk polisi usai nekat jadikan tragedi sriwijaya air sebagai candaan 
2021-01-14 03:58:45,4rdn4n,video kopaska cari cvr di antara puing puing sj 
2021-01-14 03:58:44,erickadyarsa,tio btw gw kerja di sriwijaya air dan gw pendamping keluarga dari korban perlu kalian ketahui bahwa keluarga korban lihat thumbnail youtubenya dia udah berspekulasi yang aneh aneh
2021-01-14 03:58:39,MetroNewsCh,polri update penanganan kecelakaan pesawat sriwijaya air sj kamis 
2021-01-14 03:58:26,launafita,sedihnya pesawat sj belom kelar sekarang syekh ali jabe yaallah kematian itu pasti harus terus memperbaiki 
2021-01-14 03:58:24,Ayo_Memilih,polri update penanganan kecelakaan pesawat sriwijaya air sj kamis 
2021-01-14 03:58:17,emymimirizal_,tipu bini outsation ke pontianak naik sriwijaya air tapi g bali ngan scandal sekarang pening nak balik ke tak ke jakaa 
